id,longitude,latitude,easting,northing,sg_bdod,sg_cec,sg_cfvo,sg_clay,sg_nitrogen,sg_ocd,sg_phh2o,sg_sand,sg_silt,sg_soc
83,-73.97,-13.05,611677.6388266672,8557108.276339281,1.3005845546722412,23.75312042236328,23.059513092041016,25.82476043701172,1.994166612625122,20.40217399597168,6.894347667694092,39.891780853271484,34.28365707397461,18.404329299926758
84,-73.95,-12.889999999999997,613919.1494852559,8574795.833564088,1.1903506517410278,23.442535400390625,26.180496215820313,26.115270614624023,4.381818771362305,26.43099594116211,6.143672943115234,37.64298629760742,36.29369354248047,31.03829002380371
85,-74.09,-12.969999999999999,598697.2356830921,8566005.938070538,1.1794897317886353,24.634458541870117,19.33289909362793,25.136337280273438,6.207732677459717,30.237138748168945,6.0011467933654785,41.39132308959961,33.56494903564453,28.002227783203125
86,-73.81,-13.100000000000003,629001.7364193113,8551501.947344929,1.22618567943573,20.086977005004883,25.086973190307617,27.859817504882813,2.9522769451141357,25.887691497802734,6.1255388259887695,39.22934341430664,32.9187126159668,25.445920944213867
87,-73.89,-13.159999999999997,620299.1260449148,8544905.044653399,1.2764081954956055,19.802833557128906,19.901512145996094,30.51639747619629,1.8237603902816772,20.883638381958008,6.599999904632568,35.888519287109375,33.597137451171875,16.54747772216797
88,-73.92,-13.000000000000005,617122.947035814,8562615.942230295,1.218301773071289,23.207761764526367,23.738351821899414,26.400840759277344,3.4072020053863525,25.88341522216797,6.447868347167969,38.72675704956055,34.8924446105957,24.971670150756836
89,-74.06,-12.929999999999998,601967.5175307917,8570418.11787105,1.1955273151397705,26.424030303955078,18.076997756958008,25.743064880371094,3.712270498275757,30.002103805541992,6.220893383026123,41.28574752807617,32.971187591552734,28.482927322387695
90,-74.01,-12.889999999999995,607408.8786590305,8574821.690913342,1.2602051496505737,25.282686233520508,23.27685546875,26.61254119873047,5.103341579437256,25.410614013671875,6.486506938934326,38.9560661315918,34.42807388305664,35.44896697998047
91,-73.83,-13.179999999999994,626792.2825143837,8542663.410736898,1.214137315750122,19.794994354248047,23.04134178161621,33.13881301879883,3.136993408203125,23.694181442260742,6.147169589996338,38.241214752197266,28.670852661132813,20.893203735351563
92,-73.92,-13.02999999999999,617108.8597819215,8559297.81814633,1.2265260219573975,23.33241081237793,21.981321334838867,26.10443878173828,2.876192092895508,27.681255340576172,6.43474006652832,38.14960861206055,35.74595260620117,25.39242172241211
93,-74.03,-12.959999999999996,605209.4925294836,8567087.974797836,1.2336965799331665,23.283702850341797,21.629987716674805,28.183765411376953,4.074864864349365,25.378610610961914,6.400000095367432,40.83881759643555,31.002548217773438,23.8721923828125
94,-73.94,-13.019999999999996,614944.5635194253,8560412.987062214,1.2576639652252197,20.587905883789063,18.858837127685547,28.588930130004883,2.8558237552642822,24.77379608154297,6.235716342926025,38.923709869384766,32.47500228881836,21.812641143798828
95,-73.95,-12.879999999999995,613923.6698607119,8575901.854546234,1.195138931274414,23.634170532226563,27.867570877075195,28.019197463989258,5.679492950439453,25.853757858276367,6.248610973358154,37.795379638671875,34.185420989990234,26.15258026123047
